Designator,Mid X,Mid Y,Rotation,Layer
C1,110.0,-61.5,270.0,bottom
C2,96.0,-70.5,0.0,top
C3,74.75,-64.0,270.0,bottom
C4,89.25,-70.0,180.0,top
D1,105.77,-71.0,0.0,top
R1,99.5,-76.5,0.0,top
R2,97.5,-60.75,270.0,top
R3,93.5,-60.75,270.0,top
SW1,85.75,-119.25,0.0,top
SW2,98.0,-119.25,0.0,top
SW3,110.275,-119.275,0.0,top
SW5,136.5,-67.5,90.0,top
U1,91.0,-75.54,0.0,bottom
U2,121.38,-64.11,0.0,bottom
U3,79.5,-59.5,90.0,top
U4,135.0,-107.0,0.0,bottom
